rundate,this_period,last_period,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,MANCHESTER,221971,221563,408,209159,208892,267,6.125483513
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,NEWCASTLE,0,0,0,12,0,12,
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,NEWQUAY,1,0,1,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,NORTHOLT,35,0,35,59,0,59,-40.67796707
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,NORWICH,21816,21816,0,19460,19457,3,12.10688591
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,NOTTINGHAM EAST MIDLANDS INT'L,330187,330178,9,314569,314446,123,4.964888573
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,SCATSTA,62,0,62,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,SOUTHAMPTON,198437,198437,0,98382,98382,0,101.7005157
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,STORNOWAY,31032,31032,0,24267,24267,0,27.87736511
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,SUMBURGH,15802,15802,0,15186,15186,0,4.056367874
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,WICK,6110,5980,130,5831,5831,0,4.784770966
15/04/05 14:21,2004,2003,Other UK Airports,EXETER,GLASGOW,33755,33755,0,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,EXETER,GUERNSEY,34700,34700,0,30506,30506,0,13.74811554
15/04/05 14:21,2004,2003,Other UK Airports,EXETER,ISLES OF SCILLY (ST.MARYS),4672,4672,0,4089,4089,0,14.25776482
15/04/05 14:21,2004,2003,Other UK Airports,EXETER,JERSEY,42824,42824,0,43521,43521,0,-1.601525664
15/04/05 14:21,2004,2003,Other UK Airports,EXETER,NEWCASTLE,7495,7495,0,0,0,0,
