"apt1_apt_name","apt2_apt_name","total_pax_tp","grp_name","apt1_id","apt2_id"
"234","EAST MIDLANDS INTERNATIONAL","NEWCASTLE",0,"Other Reporting Airports",25,49
"235","EAST MIDLANDS INTERNATIONAL","NEWQUAY",0,"Other Reporting Airports",25,50
"236","EDAY","KIRKWALL",0.075,"Other Reporting Airports",26,42
"237","EDINBURGH","EXETER",3.6523,"Other Reporting Airports",27,28
"238","EDINBURGH","FARNBOROUGH",0.0039,"Other Reporting Airports",27,30
"239","EDINBURGH","GLASGOW",0,"Other Reporting Airports",27,33
"240","EDINBURGH","ISLAY",0,"Other Reporting Airports",27,59
"241","EDINBURGH","ISLE OF MAN",0.4152,"Other Reporting Airports",27,39
"242","EDINBURGH","JERSEY",0.9187,"Other Reporting Airports",27,41
"243","EDINBURGH","KIRKWALL",4.3497,"Other Reporting Airports",27,42
"244","EDINBURGH","LEEDS BRADFORD",0,"Other Reporting Airports",27,44
"245","EDINBURGH","MANCHESTER",11.8516,"Other Reporting Airports",27,47
"246","EDINBURGH","MANSTON (KENT INT)",0,"Other Reporting Airports",27,48
"247","EDINBURGH","NEWQUAY",0.4481,"Other Reporting Airports",27,50
"248","EDINBURGH","NORWICH",2.4668,"Other Reporting Airports",27,51
"249","EDINBURGH","OXFORD (KIDLINGTON)",0.4061,"Other Reporting Airports",27,53
"250","EDINBURGH","SOUTHAMPTON",20.7566,"Other Reporting Airports",27,54
"251","EDINBURGH","STORNOWAY",1.9284,"Other Reporting Airports",27,55
"252","EDINBURGH","SUMBURGH",3.9876,"Other Reporting Airports",27,56
"253","EDINBURGH","WICK JOHN O GROATS",1.1362,"Other Reporting Airports",27,57
"254","EXETER","FARNBOROUGH",0,"Other Reporting Airports",28,30
"255","EXETER","GLASGOW",2.3771,"Other Reporting Airports",28,33
"256","EXETER","GUERNSEY",2.215,"Other Reporting Airports",28,35
"257","EXETER","HAWARDEN",0.0025,"Other Reporting Airports",28,36
"258","EXETER","ISLES OF SCILLY (ST.MARYS)",1.5097,"Other Reporting Airports",28,40
"259","EXETER","JERSEY",3.307,"Other Reporting Airports",28,41
"260","EXETER","LEEDS BRADFORD",0,"Other Reporting Airports",28,44
"261","EXETER","MANCHESTER",8.4618,"Other Reporting Airports",28,47
"262","EXETER","NEWCASTLE",2.9945,"Other Reporting Airports",28,49
"263","EXETER","NEWQUAY",0.001,"Other Reporting Airports",28,50
"264","EXETER","NORWICH",0.0066,"Other Reporting Airports",28,51
"265","EXETER","SOUTHAMPTON",0.0042,"Other Reporting Airports",28,54
"266","FAIR ISLE","LERWICK (TINGWALL)",0.2364,"Other Reporting Airports",29,45
"267","FAIR ISLE","SUMBURGH",0.0109,"Other Reporting Airports",29,56
"268","FARNBOROUGH","INVERNESS",0.0119,"Other Reporting Airports",30,38
"269","FARNBOROUGH","LEEDS BRADFORD",0,"Other Reporting Airports",30,44
"270","FARNBOROUGH","LIVERPOOL (JOHN LENNON)",0.0299,"Other Reporting Airports",30,46
"271","FARNBOROUGH","MANCHESTER",0.029,"Other Reporting Airports",30,47
"272","FARNBOROUGH","NEWCASTLE",0.0449,"Other Reporting Airports",30,49
"273","FARNBOROUGH","NORWICH",0.0104,"Other Reporting Airports",30,51
"274","FILTON","MANCHESTER",0,"Other Reporting Airports",31,47
"275","FOULA","LERWICK (TINGWALL)",0.1211,"Other Reporting Airports",32,45
"276","GLASGOW","GUERNSEY",0.0793,"Other Reporting Airports",33,35
"277","GLASGOW","INVERNESS",0,"Other Reporting Airports",33,38
"278","GLASGOW","ISLAY",2.5595,"Other Reporting Airports",33,59
"279","GLASGOW","ISLE OF MAN",0.4011,"Other Reporting Airports",33,39
"280","GLASGOW","JERSEY",3.6403,"Other Reporting Airports",33,41
"281","GLASGOW","KIRKWALL",1.7588,"Other Reporting Airports",33,42
"282","GLASGOW","LEEDS BRADFORD",0.9992,"Other Reporting Airports",33,44
"283","GLASGOW","MANCHESTER",5.2025,"Other Reporting Airports",33,47
"284","GLASGOW","NEWCASTLE",0.0029,"Other Reporting Airports",33,49
"285","GLASGOW","NEWQUAY",0.1751,"Other Reporting Airports",33,50
"286","GLASGOW","NORWICH",0,"Other Reporting Airports",33,51
"287","GLASGOW","SOUTHAMPTON",18.2565,"Other Reporting Airports",33,54
"288","GLASGOW","STORNOWAY",5.7499,"Other Reporting Airports",33,55
"289","GLASGOW","SUMBURGH",2.0109,"Other Reporting Airports",33,56
"290","GLASGOW","TIREE",0.7555,"Other Reporting Airports",33,61
"291","GLOUCESTERSHIRE","ISLE OF MAN",1.3594,"Other Reporting Airports",34,39
"292","GLOUCESTERSHIRE","JERSEY",0.0535,"Other Reporting Airports",34,41
"293","GUERNSEY","ISLE OF MAN",0,"Other Reporting Airports",35,39
"294","GUERNSEY","JERSEY",13.8624,"Other Reporting Airports",35,41
"295","GUERNSEY","MANCHESTER",6.6371,"Other Reporting Airports",35,47
"296","GUERNSEY","NEWCASTLE",0.0304,"Other Reporting Airports",35,49
"297","GUERNSEY","NEWQUAY",0,"Other Reporting Airports",35,50
"298","GUERNSEY","NORWICH",0.1197,"Other Reporting Airports",35,51
"299","GUERNSEY","SOUTHAMPTON",13.444,"Other Reporting Airports",35,54
"300","HAWARDEN","MANCHESTER",7e-04,"Other Reporting Airports",36,47
"301","HAWARDEN","SOUTHAMPTON",9e-04,"Other Reporting Airports",36,54
"302","HUMBERSIDE","ISLE OF MAN",0.003,"Other Reporting Airports",37,39
"303","HUMBERSIDE","JERSEY",0.2175,"Other Reporting Airports",37,41
"304","HUMBERSIDE","LEEDS BRADFORD",0,"Other Reporting Airports",37,44
"305","HUMBERSIDE","NORWICH",0.0864,"Other Reporting Airports",37,51
"306","HUMBERSIDE","SOUTHAMPTON",0.0064,"Other Reporting Airports",37,54
"307","INVERNESS","JERSEY",0.1717,"Other Reporting Airports",38,41
"308","INVERNESS","KIRKWALL",1.9204,"Other Reporting Airports",38,42
"309","INVERNESS","LEEDS BRADFORD",0,"Other Reporting Airports",38,44
"310","INVERNESS","MANCHESTER",5.579,"Other Reporting Airports",38,47
"311","INVERNESS","NEWCASTLE",0.0015,"Other Reporting Airports",38,49
"312","INVERNESS","NORWICH",0,"Other Reporting Airports",38,51
"313","INVERNESS","SCATSTA",0,"Other Reporting Airports",38,52
"314","INVERNESS","SOUTHAMPTON",0,"Other Reporting Airports",38,54
"315","INVERNESS","STORNOWAY",3.285,"Other Reporting Airports",38,55
"316","INVERNESS","SUMBURGH",0.3263,"Other Reporting Airports",38,56
"317","ISLE OF MAN","JERSEY",0.0174,"Other Reporting Airports",39,41
"318","ISLE OF MAN","LEEDS BRADFORD",0.0462,"Other Reporting Airports",39,44
"319","ISLE OF MAN","LIVERPOOL (JOHN LENNON)",20.4817,"Other Reporting Airports",39,46
"320","ISLE OF MAN","MANCHESTER",13.2469,"Other Reporting Airports",39,47
"321","ISLE OF MAN","NEWCASTLE",0.4809,"Other Reporting Airports",39,49
"322","ISLE OF MAN","NORWICH",0.0987,"Other Reporting Airports",39,51
